network_size,num_patterns,rho,sparsity,pattern_gen_time,pattern_gen_attempts,pattern_gen_collisions,pattern_gen_ok,collision_rate,train_time,train_iters,train_converged,train_final_error,train_plateau,train_ok,status
600,50,0.5,0.5,0.1119,50,0,True,0.0000,0.1988,151,True,0.099823,False,True,OK
600,60,0.5,0.5,0.1338,60,0,True,0.0000,0.2304,178,True,0.099299,False,True,OK
600,70,0.5,0.5,0.1541,70,0,True,0.0000,0.2679,201,True,0.097371,False,True,OK
600,80,0.5,0.5,0.1790,80,0,True,0.0000,0.3229,231,True,0.098963,False,True,OK
600,90,0.5,0.5,0.2218,90,0,True,0.0000,0.3476,252,True,0.099436,False,True,OK
600,100,0.5,0.5,0.2193,100,0,True,0.0000,0.3955,286,True,0.099932,False,True,OK
700,10,0.5,0.5,0.0424,10,0,True,0.0000,0.1395,92,True,0.099566,False,True,OK
700,20,0.5,0.5,0.0641,20,0,True,0.0000,0.1523,106,True,0.095378,False,True,OK
700,30,0.5,0.5,0.0778,30,0,True,0.0000,0.1594,111,True,0.096958,False,True,OK
700,40,0.5,0.5,0.1038,40,0,True,0.0000,0.1507,108,True,0.094913,False,True,OK
700,50,0.5,0.5,0.1312,50,0,True,0.0000,0.1713,123,True,0.097635,False,True,OK
700,60,0.5,0.5,0.1547,60,0,True,0.0000,0.2023,147,True,0.099936,False,True,OK
700,70,0.5,0.5,0.1800,70,0,True,0.0000,0.2653,178,True,0.097585,False,True,OK
700,80,0.5,0.5,0.2059,80,0,True,0.0000,0.2753,195,True,0.097703,False,True,OK
700,90,0.5,0.5,0.2357,90,0,True,0.0000,0.3061,223,True,0.098790,False,True,OK
700,100,0.5,0.5,0.2576,100,0,True,0.0000,0.3574,249,True,0.098886,False,True,OK
800,10,0.5,0.5,0.0304,10,0,True,0.0000,0.1366,88,True,0.095645,False,True,OK
800,20,0.5,0.5,0.0608,20,0,True,0.0000,0.1551,102,True,0.091838,False,True,OK
800,30,0.5,0.5,0.1070,30,0,True,0.0000,0.1613,107,True,0.093051,False,True,OK
800,40,0.5,0.5,0.1246,40,0,True,0.0000,0.1693,112,True,0.099716,False,True,OK
800,50,0.5,0.5,0.1631,50,0,True,0.0000,0.1876,126,True,0.095271,False,True,OK
800,60,0.5,0.5,0.1782,60,0,True,0.0000,0.1916,139,True,0.096471,False,True,OK
800,70,0.5,0.5,0.2150,70,0,True,0.0000,0.2167,149,True,0.097265,False,True,OK
800,80,0.5,0.5,0.2435,80,0,True,0.0000,0.2367,173,True,0.099525,False,True,OK
800,90,0.5,0.5,0.2726,90,0,True,0.0000,0.2582,188,True,0.098988,False,True,OK
800,100,0.5,0.5,0.3234,100,0,True,0.0000,0.2973,218,True,0.099295,False,True,OK
900,10,0.5,0.5,0.0362,10,0,True,0.0000,0.1360,95,True,0.072848,False,True,OK
900,20,0.5,0.5,0.0689,20,0,True,0.0000,0.1352,96,True,0.095827,False,True,OK
900,30,0.5,0.5,0.1012,30,0,True,0.0000,0.1588,113,True,0.096700,False,True,OK
900,40,0.5,0.5,0.1349,40,0,True,0.0000,0.1617,112,True,0.088822,False,True,OK
900,50,0.5,0.5,0.1702,50,0,True,0.0000,0.1753,118,True,0.095855,False,True,OK
900,60,0.5,0.5,0.2026,60,0,True,0.0000,0.2009,135,True,0.097507,False,True,OK
900,70,0.5,0.5,0.2368,70,0,True,0.0000,0.2214,147,True,0.095689,False,True,OK
900,80,0.5,0.5,0.2847,80,0,True,0.0000,0.2148,149,True,0.099004,False,True,OK
900,90,0.5,0.5,0.3028,90,0,True,0.0000,0.2347,162,True,0.097261,False,True,OK
900,100,0.5,0.5,0.3435,100,0,True,0.0000,0.2521,178,True,0.098317,False,True,OK
1000,10,0.5,0.5,0.0389,10,0,True,0.0000,0.1442,91,True,0.085650,False,True,OK
1000,20,0.5,0.5,0.0762,20,0,True,0.0000,0.1622,105,True,0.095812,False,True,OK
1000,30,0.5,0.5,0.1161,30,0,True,0.0000,0.1663,109,True,0.089251,False,True,OK
1000,40,0.5,0.5,0.1538,40,0,True,0.0000,0.1667,111,True,0.090755,False,True,OK
1000,50,0.5,0.5,0.1907,50,0,True,0.0000,0.1706,112,True,0.099741,False,True,OK
1000,60,0.5,0.5,0.2396,60,0,True,0.0000,0.1662,109,True,0.097277,False,True,OK
1000,70,0.5,0.5,0.2653,70,0,True,0.0000,0.1971,128,True,0.097371,False,True,OK
1000,80,0.5,0.5,0.3060,80,0,True,0.0000,0.2364,154,True,0.096602,False,True,OK
1000,90,0.5,0.5,0.3399,90,0,True,0.0000,0.2555,167,True,0.097234,False,True,OK
1000,100,0.5,0.5,0.3961,100,0,True,0.0000,0.2493,167,True,0.098122,False,True,OK
