sim_ID,beta,stop_on_spurious,noise_dynamics,delta,init_drive,momentum_coef,stddev_dynamics,learning_rate,drive_target,leak,num_patterns,nb_winners,sparsity,distance_noise_level,save_trajectories,network_size,training_iterations,stop_on_all_found,max_queries,query_iter,nb_fnd_pat,nb_spurious,nb_iter_biased,nb_iter_free,
0,0.1,0,1,0.01,0.5,0.9,0.01,0.0001,6,1,10,50,0.5,0,1,100,925,0,10,0,1,0,846,2,
0,0.1,0,1,0.01,0.5,0.9,0.01,0.0001,6,1,10,50,0.5,0,1,100,925,0,10,1,2,0,1489,2,
0,0.1,0,1,0.01,0.5,0.9,0.01,0.0001,6,1,10,50,0.5,0,1,100,925,0,10,2,2,0,977,2,
0,0.1,0,1,0.01,0.5,0.9,0.01,0.0001,6,1,10,50,0.5,0,1,100,925,0,10,3,3,0,1393,6,
0,0.1,0,1,0.01,0.5,0.9,0.01,0.0001,6,1,10,50,0.5,0,1,100,925,0,10,4,3,0,1330,2,
0,0.1,0,1,0.01,0.5,0.9,0.01,0.0001,6,1,10,50,0.5,0,1,100,925,0,10,5,3,0,1371,2,
0,0.1,0,1,0.01,0.5,0.9,0.01,0.0001,6,1,10,50,0.5,0,1,100,925,0,10,6,4,0,1380,2,
0,0.1,0,1,0.01,0.5,0.9,0.01,0.0001,6,1,10,50,0.5,0,1,100,925,0,10,7,4,0,1704,2,
0,0.1,0,1,0.01,0.5,0.9,0.01,0.0001,6,1,10,50,0.5,0,1,100,925,0,10,8,5,0,861,2,
0,0.1,0,1,0.01,0.5,0.9,0.01,0.0001,6,1,10,50,0.5,0,1,100,925,0,10,9,6,0,849,2,
