2.01798 0.114614 -0.0532219 -0.770834 -0.183348 0.401095 0.730002 -0.47279 0.248015 0.222322 -0.738443 0.0213571 -0.462681 0.500938 -0.656451 -0.826216 0.106228 0.228074 -0.95437 -0.210203 1.09661 -0.115254 -0.188167 -0.272234 0.0754538 0.137336 -0.727276 0.459085 0.00352739 0.693943 0.225296 1.04748 -0.1642 -1.32899 0.1793 0.276924 -0.156635 1.08036 1.01638 -0.110191 -0.285885 0.43786 -0.0571093 0.276924 0.0547626 -0.503517 -0.132081 0.419867 -0.799835 0.536418 -0.102218 -0.255669 0.191377 0.566244 0.571613 0.614499 0.287121 -0.130735 0.588162 0.0219694 -0.414924 1.31801 -0.437782 0.981053 
0.0260546 2.92339 0.254036 -0.810086 0.315366 0.395145 -1.51609 0.336953 0.209818 0.0601059 0.504224 0.0634889 0.556085 0.179038 0.954085 0.250741 -0.951246 0.299028 -0.758694 0.684526 -0.0846237 -0.604783 -0.708581 -0.174293 -0.397235 -0.158587 0.0597561 0.573535 -0.122431 0.853239 0.295459 -0.297274 -0.241518 -0.931996 0.193218 -0.181388 0.756925 0.735249 -1.51088 1.28613 -0.579381 0.422793 -0.400811 -0.181388 0.398369 0.526963 0.428456 0.0250067 -0.360229 -0.225849 0.828859 -0.586117 0.140216 -1.29795 -0.00577631 0.483501 -0.54985 0.743625 0.530732 0.536411 -0.932418 -0.744266 -1.95958 0.0119207 
-0.0316553 0.364162 1.21133 0.811201 -0.433445 0.718787 0.241052 0.469801 -0.138196 0.151418 -0.392625 0.127805 -0.170996 0.234919 0.95273 0.628901 -0.0586133 0.145627 -0.372175 0.697574 -0.143043 0.346522 0.0866766 -0.167236 -0.110003 0.0784021 0.806786 0.575114 0.0543921 0.317738 0.72098 0.161736 -0.506952 0.458763 0.104441 0.204257 0.105609 0.516724 -0.612328 0.286817 -0.320959 0.0511671 0.34351 0.204257 0.627353 -0.651881 0.463266 0.790488 0.428756 -0.239757 0.113594 -0.489726 0.183646 0.269923 -0.704176 0.00915265 0.155131 -0.538472 -0.497046 -0.806048 -0.221177 -0.310007 0.399421 -0.0862123 
-0.869108 -0.8198 0.69136 3.29609 -1.08134 -0.250812 0.0951554 0.323115 -0.734438 1.04577 -0.0179525 -0.328285 0.510939 0.38088 0.294805 -0.336027 0.74732 0.435209 -0.237221 0.788311 -0.558868 -0.145888 -0.387951 -0.0489366 0.0136301 -0.894452 1.08762 0.0543711 0.479955 -0.20811 1.37934 -1.13046 -0.00657825 0.631998 -0.283923 -0.678163 0.699457 -0.653094 -0.188833 0.111557 -0.536675 -1.08516 0.279448 -0.678163 -0.36432 -0.799848 0.888739 -0.808296 0.135013 -0.367369 -0.267369 0.463067 -0.481599 0.682893 0.685897 0.513497 0.0542166 -0.458547 -1.56025 -1.65478 1.37108 -0.249153 0.757258 0.221161 
-0.224155 0.363119 -0.495818 -1.02387 2.71674 -0.927075 -0.760255 0.0871895 1.29323 -0.461352 -0.466568 0.726897 -0.666256 -0.714281 -0.173797 0.32461 0.308603 0.410929 0.577101 0.72552 -0.435343 -0.2476 -0.0406426 0.973739 0.0824855 1.10127 -0.280462 0.780875 0.774051 -1.10818 -0.89554 -0.467523 0.681613 -0.0577124 0.258675 0.761932 0.20841 -0.218282 0.641763 -0.415786 -0.254462 -0.288566 -0.204498 0.761932 -0.75561 1.74815 -0.127287 -0.357001 0.028835 -0.775073 0.465728 -0.0388528 -0.66076 0.130059 -0.359084 0.54818 0.596531 0.233972 -0.261928 1.13719 -0.753772 -0.573639 -0.485648 0.152668 
0.361035 0.443645 0.657161 -0.192597 -0.926329 3.43241 0.509555 0.559177 -0.0121101 -0.531674 -0.39826 -0.0841582 0.0302993 -0.332592 0.948638 0.191543 0.259678 -1.45468 -0.684868 -0.383042 1.44715 0.131965 0.267425 -0.908237 -0.366402 -0.860156 1.39707 -0.0200377 -0.479678 1.2238 0.0718662 -0.761673 0.423397 0.734975 -0.724062 0.0367158 0.773143 0.348564 0.0483057 0.804945 -0.423147 1.11465 -1.43137 0.0367158 0.30113 0.793532 -1.47391 0.380355 0.273386 0.364008 -0.739072 -0.638333 0.594462 -0.562362 -0.311849 -0.626924 0.343013 -0.815875 0.313504 -0.714015 -0.588999 0.188884 0.377519 0.935879 
0.710424 -1.44711 0.199907 0.173852 -0.739026 0.530038 2.87849 -0.604597 -0.149978 0.434903 -0.771745 0.333092 -0.598739 -0.643157 0.455026 0.126148 0.97679 0.160014 -0.0301215 -0.585239 -0.12652 0.121016 0.404703 -0.664131 0.200638 0.10189 -0.0650137 0.256607 -0.491125 0.510923 -1.20435 0.891944 0.767081 0.123642 -0.452233 -0.208104 -1.08182 1.19863 0.0651389 -0.837761 0.316786 0.171235 -0.0388658 -0.208104 -0.682383 -0.472916 0.803708 -0.183479 0.702522 0.511566 -1.46753 -0.0417789 0.646873 0.384391 0.415818 0.105783 0.606058 0.0109779 1.19712 -0.990045 0.561579 0.520216 1.4377 -0.243407 
-0.495539 0.402764 0.425486 0.39864 0.105247 0.576488 -0.607768 2.32824 0.0356184 -0.023966 0.901015 -0.504047 0.778313 -0.227824 -0.457354 0.772767 -0.801841 -0.721273 0.988454 0.445174 -0.542374 -0.138152 -0.360142 -0.118464 0.301959 -0.121669 0.540568 -0.276485 -0.241165 0.914241 -0.0392001 -1.18426 0.0691104 -0.246782 -0.0438543 -0.287688 0.0737972 -0.124285 -0.749988 -0.182219 0.181577 0.513634 0.481675 -0.287688 0.541356 0.615023 0.570981 -0.242857 0.0922499 -1.06469 0.561045 0.491944 0.390572 0.46188 -0.988387 -0.173503 0.611478 -0.826044 -0.917678 0.261537 -1.16064 0.87426 0.894042 1.33768 
0.20502 0.255382 -0.202758 -0.679159 1.29104 -0.015046 -0.173396 0.0153716 2.74878 0.827331 -1.1675 0.497522 -0.652045 -0.367124 0.714536 1.19722 0.0209692 0.58956 -0.22606 -0.402686 0.710503 -0.293949 0.155098 -0.493877 -0.100277 0.635373 0.151251 -0.460444 0.0215833 -1.6111 -0.227397 -0.130595 -0.27748 -0.071383 -0.626381 -0.532837 0.797154 -0.555072 1.24748 -0.623764 1.30408 0.62645 -0.850047 -0.532837 0.200811 1.02778 0.928859 -0.425521 0.0883905 -0.48092 0.000883367 -0.434641 0.0873293 0.59954 -0.166319 0.588443 -0.756711 -0.116764 -0.117848 0.757839 -0.926344 -0.00310308 -0.75632 0.651338 
0.181933 0.108276 0.0894625 1.10366 -0.460934 -0.532004 0.414092 -0.0416061 0.829938 1.97344 -0.245162 -0.355751 -0.105448 1.05877 0.00684451 0.813139 0.433927 1.08132 -0.272543 0.117898 0.456142 -0.212165 0.0797936 -0.18373 0.209342 -0.390875 -0.0388631 -0.695524 -0.0440158 -0.772229 0.233753 -0.0134906 0.227232 -0.738969 -0.422242 -1.46632 0.317691 0.0215476 -0.273381 0.571945 0.106942 -0.382144 0.213486 -1.46632 -0.506096 -0.0572463 1.52814 -0.348186 -0.0018248 0.232338 -0.47766 0.475333 0.158142 0.52426 0.297996 0.719281 -0.957469 0.433905 0.106897 -0.43646 -0.0469389 0.404856 -0.225227 0.291147 
