0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5
0.503118 0.503675 0.495988 0.504738 0.498818 0.506735 0.504354 0.509719 0.496945 0.501316 0.50332 0.503962 0.505634 0.507907 0.500718 0.505401 0.50504 0.510583 0.500632 0.507869 0.504247 0.50287 0.503149 0.505052 0.502535 0.503944 0.509799 0.498096 0.510555 0.505452 0.509476 0.509427 0.502413 0.498443 0.50051 0.502991 0.507859 0.501221 0.499046 0.504807 0.504619 0.501445 0.502123 0.504506 0.511979 0.500154 0.498154 0.506803 0.502636 0.498829 0.495386 0.491551 0.49831 0.498103 0.489972 0.49623 0.49084 0.495496 0.498722 0.498128 0.500587 0.501103 0.500605 0.487897 0.504607 0.49483 0.494491 0.49759 0.501268 0.496134 0.494613 0.506926 0.501823 0.498177 0.493795 0.495076 0.498664 0.495257 0.487906 0.494576 0.490404 0.494073 0.491959 0.493563 0.498262 0.490393 0.500252 0.495962 0.490129 0.496268 0.490991 0.496284 0.499479 0.498728 0.495159 0.494995 0.494825 0.496392 0.495573 0.50135
0.506246 0.507332 0.492039 0.50949 0.497574 0.513411 0.508694 0.519406 0.493944 0.502653 0.506659 0.507887 0.511276 0.515765 0.501423 0.510723 0.510027 0.521079 0.501277 0.51565 0.508422 0.505662 0.506259 0.510065 0.505073 0.507855 0.519556 0.496197 0.521105 0.510874 0.518882 0.518847 0.504797 0.496891 0.50104 0.505909 0.51565 0.502477 0.498148 0.50956 0.509164 0.502866 0.504262 0.508972 0.523801 0.500279 0.496299 0.51356 0.505265 0.497669 0.490817 0.483141 0.496578 0.496178 0.480033 0.4925 0.48172 0.491035 0.497415 0.496337 0.50126 0.502211 0.501225 0.475899 0.509214 0.489674 0.489062 0.495121 0.502522 0.492311 0.4893 0.513813 0.50358 0.496366 0.487635 0.490203 0.497328 0.490539 0.475915 0.489158 0.480874 0.48816 0.484018 0.487149 0.496566 0.480807 0.500505 0.491932 0.480255 0.492559 0.482001 0.492674 0.498965 0.497439 0.490309 0.490061 0.489682 0.492811 0.491108 0.502686
0.509378 0.511026 0.488032 0.514189 0.496371 0.520036 0.513028 0.529057 0.49093 0.503961 0.509998 0.511792 0.51683 0.52358 0.502151 0.516012 0.514973 0.531521 0.501897 0.523362 0.51264 0.508471 0.509369 0.515007 0.507573 0.511766 0.529196 0.494282 0.531532 0.516275 0.528215 0.528209 0.507234 0.495355 0.501574 0.508806 0.523423 0.503681 0.49722 0.514296 0.513699 0.504279 0.506348 0.513414 0.535584 0.500406 0.494419 0.520251 0.507914 0.49653 0.486228 0.474725 0.494892 0.494259 0.470161 0.488727 0.47271 0.486556 0.49617 0.494553 0.501918 0.503311 0.501812 0.46399 0.513755 0.484481 0.48365 0.492676 0.503795 0.488479 0.483989 0.520666 0.505383 0.494597 0.481517 0.485315 0.49606 0.48583 0.463943 0.48384 0.471385 0.482242 0.47613 0.4808 0.494872 0.471345 0.500752 0.487951 0.470464 0.488847 0.473065 0.489069 0.49845 0.496202 0.485554 0.485112 0.484557 0.489201 0.486686 0.504049
0.512491 0.514651 0.484051 0.518871 0.495155 0.526638 0.517329 0.538581 0.48796 0.505294 0.513285 0.515654 0.522371 0.531338 0.502885 0.521287 0.519929 0.541828 0.502513 0.531053 0.516806 0.511266 0.512451 0.519997 0.510088 0.515645 0.53877 0.492372 0.54187 0.521644 0.537472 0.537504 0.509618 0.493863 0.502111 0.511716 0.531132 0.504904 0.496319 0.519023 0.518234 0.505726 0.508442 0.517821 0.547238 0.50057 0.492574 0.526939 0.51061 0.495391 0.481698 0.466413 0.493211 0.492365 0.460348 0.485006 0.463676 0.48212 0.494884 0.492729 0.502582 0.504409 0.502437 0.452168 0.518331 0.47936 0.478259 0.490254 0.505037 0.484685 0.478696 0.527478 0.507146 0.492742 0.47544 0.480487 0.494708 0.481149 0.452158 0.478498 0.462013 0.476403 0.468273 0.474455 0.493214 0.461896 0.501035 0.483987 0.460737 0.485172 0.464255 0.485461 0.497932 0.49493 0.480817 0.480211 0.479462 0.485696 0.482331 0.505374
0.515567 0.518202 0.480129 0.523529 0.493955 0.533185 0.521607 0.548088 0.484964 0.506544 0.516546 0.519509 0.527892 0.539099 0.503609 0.526503 0.524859 0.552078 0.503158 0.538636 0.520958 0.514016 0.515515 0.524978 0.512584 0.519471 0.548308 0.490465 0.552151 0.52702 0.546669 0.546724 0.511977 0.492374 0.502627 0.514563 0.538732 0.506106 0.495448 0.523702 0.522755 0.507152 0.51052 0.522249 0.558789 0.500725 0.490703 0.533549 0.51326 0.494314 0.477224 0.458166 0.491591 0.490511 0.450565 0.481288 0.454774 0.47775 0.493637 0.490969 0.503263 0.505488 0.503101 0.440505 0.522926 0.474274 0.472932 0.487892 0.506284 0.48094 0.473412 0.534226 0.508929 0.490928 0.469395 0.475674 0.493444 0.476486 0.440393 0.473241 0.452701 0.4706 0.460509 0.468144 0.491576 0.452537 0.501298 0.480037 0.451077 0.481523 0.455487 0.481856 0.497392 0.49363 0.47608 0.475335 0.474358 0.48212 0.477961 0.506691
0.518648 0.521831 0.476279 0.528171 0.492789 0.539642 0.525829 0.557489 0.481986 0.507819 0.519758 0.52335 0.53336 0.546722 0.50429 0.531684 0.529738 0.562214 0.503779 0.546216 0.525034 0.516782 0.518559 0.529888 0.51504 0.523269 0.557729 0.488605 0.562349 0.53235 0.555765 0.555879 0.514312 0.490895 0.503091 0.51748 0.54624 0.507337 0.494584 0.528371 0.52722 0.508551 0.512632 0.526645 0.570259 0.500846 0.48886 0.540135 0.515911 0.493177 0.472734 0.449967 0.489926 0.488681 0.440934 0.477643 0.44593 0.473337 0.492407 0.48923 0.503882 0.506639 0.503768 0.428937 0.527447 0.469211 0.467616 0.48555 0.507545 0.477157 0.468154 0.540965 0.510738 0.489149 0.463379 0.470872 0.492206 0.47185 0.428842 0.467987 0.44345 0.464837 0.452825 0.461895 0.489944 0.443297 0.501561 0.476091 0.441527 0.477845 0.446819 0.478294 0.49688 0.492356 0.471377 0.470504 0.469324 0.478608 0.473686 0.508026
0.52172 0.525376 0.472394 0.532782 0.491606 0.546125 0.530065 0.566783 0.479037 0.509066 0.522996 0.527218 0.5388 0.554362 0.504962 0.536853 0.534566 0.572251 0.504358 0.553733 0.529125 0.519497 0.521594 0.534706 0.517455 0.527058 0.567061 0.486726 0.572396 0.5376 0.564841 0.564962 0.516615 0.489417 0.503567 0.520314 0.55378 0.508521 0.493678 0.533037 0.531664 0.509987 0.514699 0.530957 0.581562 0.500988 0.487023 0.546651 0.518477 0.492067 0.468273 0.441811 0.488242 0.486824 0.431406 0.474024 0.437162 0.468959 0.491138 0.487483 0.504499 0.507755 0.504413 0.417504 0.531904 0.464209 0.462308 0.483161 0.508806 0.473418 0.462974 0.547618 0.512478 0.487372 0.457436 0.466182 0.491004 0.467258 0.417391 0.462747 0.434283 0.459104 0.445232 0.455673 0.488321 0.434131 0.50178 0.472196 0.432066 0.474251 0.438177 0.474722 0.496352 0.491115 0.466731 0.465661 0.464331 0.475128 0.469369 0.509341
0.524788 0.528948 0.468563 0.537317 0.490417 0.552535 0.534307 0.575967 0.476154 0.510328 0.526189 0.530992 0.544187 0.561878 0.50563 0.542014 0.539419 0.582167 0.504949 0.561163 0.533185 0.522229 0.524607 0.539468 0.519927 0.530808 0.576304 0.484892 0.582339 0.542818 0.573812 0.573932 0.518905 0.487965 0.504037 0.523141 0.561234 0.509715 0.492777 0.537626 0.536085 0.511433 0.516744 0.535287 0.592748 0.501141 0.485207 0.553161 0.521055 0.490992 0.463855 0.433733 0.486612 0.485016 0.421945 0.470442 0.428503 0.464637 0.489884 0.485757 0.505089 0.508846 0.505054 0.406186 0.536369 0.459248 0.457077 0.480777 0.510068 0.469711 0.457834 0.554227 0.514226 0.485613 0.451514 0.461454 0.489812 0.462748 0.406091 0.45761 0.425238 0.453421 0.437679 0.449471 0.486696 0.425072 0.501995 0.46828 0.422695 0.470692 0.429621 0.471184 0.495811 0.489863 0.462128 0.460865 0.459364 0.471639 0.465111 0.510675
0.527765 0.532471 0.464772 0.541824 0.489193 0.558884 0.538428 0.585039 0.473212 0.511612 0.529377 0.534766 0.549569 0.569394 0.506335 0.54716 0.544222 0.59199 0.505503 0.568529 0.537243 0.524912 0.527568 0.544257 0.522268 0.534528 0.585404 0.48309 0.592175 0.548034 0.582651 0.582867 0.521198 0.486488 0.504487 0.525946 0.568617 0.510851 0.491926 0.542133 0.540461 0.512803 0.518745 0.539545 0.603781 0.501257 0.483438 0.559584 0.523598 0.489927 0.459496 0.42574 0.484994 0.48316 0.412588 0.466833 0.419944 0.460379 0.488645 0.483974 0.505724 0.509916 0.505683 0.395068 0.540793 0.454315 0.451869 0.478449 0.511314 0.465981 0.4527 0.560803 0.515975 0.483877 0.445666 0.456785 0.48856 0.458258 0.394951 0.45243 0.416277 0.447763 0.430181 0.443353 0.485083 0.416097 0.502246 0.464446 0.413422 0.467051 0.421132 0.467714 0.495294 0.488667 0.457537 0.45609 0.454431 0.468214 0.460888 0.51196
