query_iter,nb_fnd_pat,nb_spurious,nb_iter_biased,nb_iter_free,
0,1,0,846,2,
1,2,0,1489,2,
2,2,0,977,2,
3,3,0,1393,6,
4,3,0,1330,2,
5,3,0,1371,2,
6,4,0,1380,2,
7,4,0,1704,2,
8,5,0,861,2,
9,6,0,849,2,
